shell,ell,twin_count,rho_twin,ln_rho_twin,trip_count,rho_trip,ln_rho_trip,quad_count,rho_quad,ln_rho_quad,quint_count,rho_quint,ln_rho_quint
S2,1.527180,6,4.000000e-01,-0.916291,3,2.000000e-01,-1.609438,1,6.666667e-02,-2.708050,1,6.666667e-02,-2.708050
S3,1.932645,27,1.800000e-01,-1.714798,11,7.333333e-02,-2.612740,3,2.000000e-02,-3.912023,1,6.666667e-03,-5.010635
S4,2.220327,170,1.133333e-01,-2.177422,40,2.666667e-02,-3.624341,7,4.666667e-03,-5.367310,1,6.666667e-04,-7.313220
S5,2.443470,1019,6.793333e-02,-2.689228,204,1.360000e-02,-4.297685,26,1.733333e-03,-6.357709,6,4.000000e-04,-7.824046
S6,2.625792,6945,4.630000e-02,-3.072613,1134,7.560000e-03,-4.884884,128,8.533333e-04,-7.066360,24,1.600000e-04,-8.740337
S7,2.779943,50811,3.387400e-02,-3.385108,7150,4.766667e-03,-5.346108,733,4.886667e-04,-7.623830,126,8.400000e-05,-9.384694
S8,2.913474,381332,2.542213e-02,-3.672135,47057,3.137133e-03,-5.764446,3869,2.579333e-04,-8.262809,537,3.580000e-05,-10.237563
S9,3.031257,2984194,1.989463e-02,-3.917306,323908,2.159387e-03,-6.137931,23620,1.574667e-04,-8.756297,2936,1.957333e-05,-10.841342
S10,3.136618,23988173,1.599212e-02,-4.135659,2333839,1.555893e-03,-6.465706,152141,1.014273e-04,-9.196168,16570,1.104667e-05,-11.413382
S11,3.231928,196963369,1.313089e-02,-4.332788,,,,,,,102254,6.816933e-06,-11.896101
